MONATE_SEIT_EINFUEHRUNG_PROGRAMM_KOHORTE,MONAT,monat_jahr,monat_monat,monat_jahreszeit,KOHORTE,kohorte_jahr,kohorte_monat,kohorte_jahreszeit,ERSTER_MONAT_KOHORTE_FG,MONATE_SEIT_EXISTENZ_KOHORTE,KOHORTENGROESSE_INDEXIERT,KOHORTENGROESSE_KUMULIERT_INDEXIERT,IDENTIFIZIERTE_KUNDEN_INDEXIERT,RETENTIONRATE,UMSATZ_INDEXIERT,MONATLICHER_UMSATZ_INDEXIERT,UMSATZANTEIL_KOHORTE,ANZ_BONS_INDEXIERT,ABVERKAUF_INDEXIERT,RABATT_INDEXIERT,FREQUENZ_INDEXIERT,DURCHSCHNITTSBON_INDEXIERT,STUECKBON_INDEXIERT,UMSATZ_JE_KUNDE_INDEXIERT,ABVERKAUF_JE_KUNDE_INDEXIERT,RABATT_JE_KUNDE_INDEXIERT
-1,201705,2017,5,Frühling,201409,2014,9,Herbst,0,32,27.34,5.52,21.73,79.477,66.59,235.78,0.0047858702,73.19,58.93,141.81,336.83,90.98,80.52,306.45,271.2,652.59
-1,201706,2017,6,Sommer,201409,2014,9,Herbst,0,33,27.34,5.52,21.69,79.3227,63.21,222.73,0.0048089494,69.22,57.85,159.71,319.15,91.32,83.57,291.45,266.72,736.4
-1,201707,2017,7,Sommer,201409,2014,9,Herbst,0,34,27.34,5.52,21.36,78.1069,60.55,220.9,0.0046445873,66.96,56.86,155.12,313.57,90.42,84.91,283.52,266.24,726.38
-1,201708,2017,8,Sommer,201409,2014,9,Herbst,0,35,27.34,5.52,21.12,77.2482,58.13,211.6,0.0046555715,64.14,53.41,116.37,303.7,90.63,83.27,275.25,252.89,551.0
0,201410,2014,10,Herbst,201410,2014,10,Herbst,1,0,375.13,80.11,375.13,100.0,538.64,98.86,0.0923300902,589.3,577.69,1454.05,157.09,91.4,98.03,143.59,154.0,387.61
0,201411,2014,11,Herbst,201410,2014,10,Herbst,0,1,375.13,80.11,283.83,75.6627,482.74,100.0,0.0818032039,526.81,509.22,694.96,185.61,91.64,96.66,170.08,179.41,244.85
0,201412,2014,12,Winter,201410,2014,10,Herbst,0,2,375.13,80.11,281.02,74.9141,540.41,124.57,0.0735136572,515.61,531.14,1023.05,183.48,104.81,103.01,192.3,189.0,364.05
0,201501,2015,1,Winter,201410,2014,10,Herbst,0,3,375.13,80.11,261.53,69.7189,465.1,112.12,0.070296955,471.04,475.26,663.61,180.11,98.74,100.9,177.84,181.72,253.74
0,201502,2015,2,Winter,201410,2014,10,Herbst,0,4,375.13,80.11,257.32,68.5947,441.27,98.69,0.0757685219,443.61,440.71,515.12,172.4,99.47,99.35,171.49,171.27,200.19
0,201503,2015,3,Frühling,201410,2014,10,Herbst,0,5,375.13,80.11,253.09,67.4681,456.35,114.62,0.0674657299,475.09,455.67,547.98,187.71,96.06,95.91,180.31,180.04,216.52
0,201504,2015,4,Frühling,201410,2014,10,Herbst,0,6,375.13,80.11,238.37,63.5433,473.67,116.9,0.0686631407,471.57,443.86,513.78,197.83,100.44,94.12,198.71,186.21,215.54
0,201505,2015,5,Frühling,201410,2014,10,Herbst,0,7,375.13,80.11,240.73,64.172,501.03,129.83,0.065392514,513.5,467.4,607.09,213.31,97.57,91.02,208.13,194.16,252.19
0,201506,2015,6,Sommer,201410,2014,10,Herbst,0,8,375.13,80.11,240.68,64.159,512.63,131.75,0.0659321379,530.27,493.66,829.51,220.32,96.67,93.1,212.99,205.11,344.66
0,201507,2015,7,Sommer,201410,2014,10,Herbst,0,9,375.13,80.11,240.41,64.088,517.91,141.43,0.0620557494,529.27,506.84,763.67,220.15,97.85,95.76,215.43,210.82,317.65
0,201508,2015,8,Sommer,201410,2014,10,Herbst,0,10,375.13,80.11,237.27,63.2501,475.77,132.63,0.0607883338,511.55,473.12,607.88,215.6,93.01,92.49,200.52,199.4,256.2
0,201509,2015,9,Herbst,201410,2014,10,Herbst,0,11,375.13,80.11,243.55,64.9255,462.27,127.05,0.0616540177,500.05,429.31,526.71,205.32,92.44,85.85,189.8,176.27,216.26
0,201510,2015,10,Herbst,201410,2014,10,Herbst,0,12,375.13,80.11,242.1,64.5384,486.49,140.6,0.0586314315,507.64,433.66,624.46,209.68,95.83,85.43,200.95,179.12,257.94
0,201511,2015,11,Herbst,201410,2014,10,Herbst,0,13,375.13,80.11,235.3,62.7251,480.65,136.74,0.0595641254,488.32,412.94,605.25,207.53,98.43,84.56,204.27,175.5,257.22
0,201512,2015,12,Winter,201410,2014,10,Herbst,0,14,375.13,80.11,238.93,63.6931,560.93,167.2,0.0568478896,484.94,442.88,654.0,202.96,115.67,91.33,234.77,185.36,273.72
0,201601,2016,1,Winter,201410,2014,10,Herbst,0,15,375.13,80.11,238.84,63.6685,497.71,151.1,0.0558155389,482.76,414.82,663.48,202.13,103.1,85.93,208.39,173.68,277.8
0,201602,2016,2,Winter,201410,2014,10,Herbst,0,16,375.13,80.11,240.93,64.2251,493.4,138.42,0.0604042998,486.39,402.19,887.82,201.88,101.44,82.69,204.79,166.94,368.5
0,201603,2016,3,Frühling,201410,2014,10,Herbst,0,17,375.13,80.11,245.03,65.3201,546.47,171.54,0.0539817981,539.05,444.87,782.08,219.99,101.38,82.53,223.02,181.56,319.17
0,201604,2016,4,Frühling,201410,2014,10,Herbst,0,18,375.13,80.11,244.1,65.0718,566.4,172.53,0.0556309932,543.16,462.72,1034.0,222.51,104.28,85.19,232.03,189.56,423.59
0,201605,2016,5,Frühling,201410,2014,10,Herbst,0,19,375.13,80.11,243.5,64.9101,578.62,183.72,0.0533688562,567.5,491.24,996.26,233.06,101.96,86.56,237.63,201.74,409.15
0,201606,2016,6,Sommer,201410,2014,10,Herbst,0,20,375.13,80.11,248.39,66.2149,584.83,182.3,0.05436324,576.43,509.88,1223.59,232.06,101.46,88.46,235.45,205.27,492.61
0,201607,2016,7,Sommer,201410,2014,10,Herbst,0,21,375.13,80.11,248.76,66.3141,580.16,191.25,0.0514046459,565.98,528.28,1091.89,227.52,102.51,93.34,233.22,212.36,438.93
0,201608,2016,8,Sommer,201410,2014,10,Herbst,0,22,375.13,80.11,243.74,64.9751,528.59,174.95,0.0512001191,532.61,481.43,1053.06,218.52,99.25,90.39,216.87,197.52,432.04
0,201609,2016,9,Herbst,201410,2014,10,Herbst,0,23,375.13,80.11,246.17,65.6242,520.84,168.55,0.0523631321,550.63,475.94,1364.14,223.68,94.59,86.43,211.57,193.33,554.14
0,201610,2016,10,Herbst,201410,2014,10,Herbst,0,24,375.13,80.11,258.65,68.9495,573.41,197.33,0.0492406287,588.12,516.61,1536.5,227.38,97.5,87.84,221.69,199.73,594.05
0,201611,2016,11,Herbst,201410,2014,10,Herbst,0,25,375.13,80.11,262.61,70.0065,562.05,193.64,0.0491853538,570.18,487.45,2570.59,217.12,98.57,85.49,214.02,185.61,978.85
0,201612,2016,12,Winter,201410,2014,10,Herbst,0,26,375.13,80.11,267.3,71.2562,648.81,237.22,0.0463471291,577.1,528.13,2155.37,215.9,112.43,91.52,242.73,197.58,806.34
0,201701,2017,1,Winter,201410,2014,10,Herbst,0,27,375.13,80.11,258.01,68.7797,554.01,202.51,0.0463580329,518.77,462.06,1193.2,201.06,106.79,89.07,214.72,179.09,462.46
0,201702,2017,2,Winter,201410,2014,10,Herbst,0,28,375.13,80.11,261.03,69.5853,557.12,194.83,0.0484553569,540.28,478.59,1928.93,206.98,103.12,88.58,213.43,183.35,738.96
0,201703,2017,3,Frühling,201410,2014,10,Herbst,0,29,375.13,80.11,267.52,71.3152,654.29,245.71,0.0451235964,630.47,553.91,2241.8,235.67,103.78,87.86,244.58,207.05,837.98
0,201704,2017,4,Frühling,201410,2014,10,Herbst,0,30,375.13,80.11,260.39,69.4147,579.86,210.78,0.0466168695,563.09,494.79,1699.05,216.25,102.98,87.87,222.69,190.01,652.49
0,201705,2017,5,Frühling,201410,2014,10,Herbst,0,31,375.13,80.11,257.82,68.7291,635.38,235.78,0.0456649826,614.71,548.42,1216.32,238.42,103.36,89.22,246.44,212.71,471.77
0,201706,2017,6,Sommer,201410,2014,10,Herbst,0,32,375.13,80.11,258.4,68.8841,613.33,222.73,0.0466631507,591.47,550.66,1333.19,228.89,103.7,93.1,237.35,213.1,515.93
0,201707,2017,7,Sommer,201410,2014,10,Herbst,0,33,375.13,80.11,253.29,67.5219,582.11,220.9,0.0446545005,571.5,538.21,1298.28,225.63,101.86,94.17,229.82,212.49,512.56
0,201708,2017,8,Sommer,201410,2014,10,Herbst,0,34,375.13,80.11,249.51,66.5131,556.76,211.6,0.0445872471,547.06,500.61,962.94,219.25,101.77,91.51,223.14,200.64,385.94
1,201411,2014,11,Herbst,201411,2014,11,Herbst,1,0,100.0,100.0,100.0,100.0,100.0,100.0,0.0169454755,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,201412,2014,12,Winter,201411,2014,11,Herbst,0,1,100.0,100.0,67.07,67.0716,94.39,124.57,0.0128394455,89.91,89.58,128.8,134.06,104.97,99.63,140.72,133.56,192.04
1,201501,2015,1,Winter,201411,2014,11,Herbst,0,2,100.0,100.0,58.6,58.5981,78.22,112.12,0.0118224309,78.18,77.45,84.21,133.42,100.05,99.06,133.49,132.17,143.71
1,201502,2015,2,Winter,201411,2014,11,Herbst,0,3,100.0,100.0,56.9,56.8966,75.41,98.69,0.0129479026,74.19,73.07,68.44,130.4,101.64,98.49,132.53,128.42,120.29
1,201503,2015,3,Frühling,201411,2014,11,Herbst,0,4,100.0,100.0,54.73,54.7334,74.7,114.62,0.0110429245,75.99,72.49,66.11,138.84,98.29,95.39,136.47,132.44,120.78
1,201504,2015,4,Frühling,201411,2014,11,Herbst,0,5,100.0,100.0,49.65,49.6498,75.23,116.9,0.0109052026,73.34,68.59,60.5,147.72,102.57,93.52,151.52,138.14,121.86
1,201505,2015,5,Frühling,201411,2014,11,Herbst,0,6,100.0,100.0,50.05,50.0481,79.83,129.83,0.0104193907,79.83,72.52,66.14,159.51,100.0,90.84,159.51,144.9,132.15
1,201506,2015,6,Sommer,201411,2014,11,Herbst,0,7,100.0,100.0,50.0,49.9954,82.61,131.75,0.0106245036,82.3,76.89,91.75,164.62,100.37,93.43,165.23,153.8,183.52
